win_loss,game_location,game_date,game_duration,game_player,game_agent,game_avgScore,game_kda,game_attackKills,game_attackDeaths,game_attackAssists,game_attackKD,game_attackDamage,game_defenseKills,game_defenseDeaths,game_defenseAssists,game_defenseKD,game_defenseDamage,game_weapon_type,game_weapon_name,game_weapon_kills,game_weapon_damage
Win,Haven,"10/05/20, 2:58 PM",25m 29s,shehroz303,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,325,19 / 6 / 3,15,5,2,3,2605,4,1,1,4,322,Assault Rifles,Vandal,10,1882
Win,Haven,"10/05/20, 2:58 PM",25m 29s,shehroz303,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,325,19 / 6 / 3,15,5,2,3,2605,4,1,1,4,322,SMGs,Spectre,4,616
Win,Haven,"10/05/20, 2:58 PM",25m 29s,shehroz303,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,325,19 / 6 / 3,15,5,2,3,2605,4,1,1,4,322,Assault Rifles,Phantom,4,464
Win,Haven,"10/05/20, 2:58 PM",25m 29s,shehroz303,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,325,19 / 6 / 3,15,5,2,3,2605,4,1,1,4,322,Sidearms,Ghost,1,144
Win,Haven,"10/05/20, 2:58 PM",25m 29s,GiantGochu,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sage_thumb.png,273,15 / 7 / 3,13,6,2,2.2,1888,2,1,1,2,104,Sniper Rifles,Operator,10,1741
Win,Haven,"10/05/20, 2:58 PM",25m 29s,GiantGochu,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sage_thumb.png,273,15 / 7 / 3,13,6,2,2.2,1888,2,1,1,2,104,Sidearms,Classic,3,324
Win,Haven,"10/05/20, 2:58 PM",25m 29s,GiantGochu,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sage_thumb.png,273,15 / 7 / 3,13,6,2,2.2,1888,2,1,1,2,104,SMGs,Spectre,2,161
Win,Haven,"10/05/20, 2:58 PM",25m 29s,Snooc,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,239,14 / 6 / 2,12,5,2,2.4,2487,2,1,0,2,67,Assault Rifles,Vandal,8,1667
Win,Haven,"10/05/20, 2:58 PM",25m 29s,Snooc,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,239,14 / 6 / 2,12,5,2,2.4,2487,2,1,0,2,67,SMGs,Spectre,5,894
Win,Haven,"10/05/20, 2:58 PM",25m 29s,Snooc,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,239,14 / 6 / 2,12,5,2,2.4,2487,2,1,0,2,67,Sidearms,Ghost,1,120
Win,Haven,"10/05/20, 2:58 PM",25m 29s,bebop,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/jett_thumb.png,238,14 / 8 / 3,9,7,2,1.3,1739,5,1,1,5,674,Sidearms,Ghost,6,844
Win,Haven,"10/05/20, 2:58 PM",25m 29s,bebop,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/jett_thumb.png,238,14 / 8 / 3,9,7,2,1.3,1739,5,1,1,5,674,Assault Rifles,Vandal,3,648
Win,Haven,"10/05/20, 2:58 PM",25m 29s,bebop,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/jett_thumb.png,238,14 / 8 / 3,9,7,2,1.3,1739,5,1,1,5,674,Sniper Rifles,Operator,1,278
Win,Haven,"10/05/20, 2:58 PM",25m 29s,bebop,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/jett_thumb.png,238,14 / 8 / 3,9,7,2,1.3,1739,5,1,1,5,674,Assault Rifles,Phantom,1,175
Win,Haven,"10/05/20, 2:58 PM",25m 29s,bebop,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/jett_thumb.png,238,14 / 8 / 3,9,7,2,1.3,1739,5,1,1,5,674,SMGs,Stinger,1,173
Win,Haven,"10/05/20, 2:58 PM",25m 29s,bebop,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/jett_thumb.png,238,14 / 8 / 3,9,7,2,1.3,1739,5,1,1,5,674,SMGs,Spectre,1,104
Win,Haven,"10/05/20, 2:58 PM",25m 29s,MahKat2744,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,196,10/8/2003,8,5,2,1.6,1605,2,3,1,0.7,168,Assault Rifles,Phantom,6,1072
Win,Haven,"10/05/20, 2:58 PM",25m 29s,MahKat2744,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,196,10/8/2003,8,5,2,1.6,1605,2,3,1,0.7,168,Sidearms,Classic,1,110
Win,Haven,"10/05/20, 2:58 PM",25m 29s,MahKat2744,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,196,10/8/2003,8,5,2,1.6,1605,2,3,1,0.7,168,SMGs,Stinger,1,108
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,A810X6,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sage_thumb.png,177,9/14/2003,1,3,1,0.3,312,8,11,2,0.7,1526,Assault Rifles,Vandal,7,1545
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,A810X6,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sage_thumb.png,177,9/14/2003,1,3,1,0.3,312,8,11,2,0.7,1526,Sidearms,Classic,2,326
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,JJDiaz4321,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png,163,7/13/2002,2,3,0,0.7,312,5,10,2,0.5,1401,Sidearms,Classic,3,560
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,JJDiaz4321,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png,163,7/13/2002,2,3,0,0.7,312,5,10,2,0.5,1401,Assault Rifles,Phantom,2,390
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,JJDiaz4321,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png,163,7/13/2002,2,3,0,0.7,312,5,10,2,0.5,1401,SMGs,Spectre,2,338
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,Qatuh,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/viper_thumb.png,151,6/15/2001,1,3,0,0.3,197,5,12,1,0.4,1254,Assault Rifles,Phantom,2,312
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,Qatuh,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/viper_thumb.png,151,6/15/2001,1,3,0,0.3,197,5,12,1,0.4,1254,Assault Rifles,Vandal,1,155
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,Qatuh,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/viper_thumb.png,151,6/15/2001,1,3,0,0.3,197,5,12,1,0.4,1254,SMGs,Spectre,1,141
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,Qatuh,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/viper_thumb.png,151,6/15/2001,1,3,0,0.3,197,5,12,1,0.4,1254,Sidearms,Ghost,1,112
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,Qatuh,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/viper_thumb.png,151,6/15/2001,1,3,0,0.3,197,5,12,1,0.4,1254,Sidearms,Classic,1,100
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,Chambolic,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,145,8/14/2001,1,3,0,0.3,132,7,11,1,0.6,1329,Assault Rifles,Phantom,2,395
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,Chambolic,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,145,8/14/2001,1,3,0,0.3,132,7,11,1,0.6,1329,Sidearms,Ghost,2,362
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,Chambolic,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,145,8/14/2001,1,3,0,0.3,132,7,11,1,0.6,1329,Assault Rifles,Vandal,2,320
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,Chambolic,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,145,8/14/2001,1,3,0,0.3,132,7,11,1,0.6,1329,Sidearms,Classic,1,156
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,gochu,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,126,5/16/2001,2,3,0,0.7,0,3,13,1,0.2,1022,Assault Rifles,Vandal,3,298
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,gochu,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,126,5/16/2001,2,3,0,0.7,0,3,13,1,0.2,1022,Sidearms,Ghost,1,167
Loss,Haven,"10/05/20, 2:58 PM",25m 29s,gochu,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,126,5/16/2001,2,3,0,0.7,0,3,13,1,0.2,1022,Sidearms,Sheriff,1,159
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,shehroz303,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,440,30 / 11 / 5,15,5,1,3,2171,15,6,4,2.5,2663,Assault Rifles,Phantom,16,3025
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,shehroz303,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,440,30 / 11 / 5,15,5,1,3,2171,15,6,4,2.5,2663,Sidearms,Ghost,7,815
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,shehroz303,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,440,30 / 11 / 5,15,5,1,3,2171,15,6,4,2.5,2663,SMGs,Spectre,4,681
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,shehroz303,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,440,30 / 11 / 5,15,5,1,3,2171,15,6,4,2.5,2663,Assault Rifles,Vandal,3,480
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,MahKat2744,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,271,20 / 10 / 0,3,5,0,0.6,456,17,5,0,3.4,2397,Assault Rifles,Phantom,13,2287
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,MahKat2744,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,271,20 / 10 / 0,3,5,0,0.6,456,17,5,0,3.4,2397,Sidearms,Classic,3,409
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,MahKat2744,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,271,20 / 10 / 0,3,5,0,0.6,456,17,5,0,3.4,2397,SMGs,Stinger,2,283
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,Kryptich,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/brimstone_thumb.png,233,13 / 11 / 13,4,4,4,1,498,9,7,9,1.3,2076,Assault Rifles,Phantom,8,1428
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,Kryptich,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/brimstone_thumb.png,233,13 / 11 / 13,4,4,4,1,498,9,7,9,1.3,2076,SMGs,Stinger,1,169
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,Kryptich,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/brimstone_thumb.png,233,13 / 11 / 13,4,4,4,1,498,9,7,9,1.3,2076,Heavy Weapons,Ares,3,161
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,FedUpGoat16,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,123,8/15/2002,2,5,1,0.4,408,6,10,1,0.6,1175,Assault Rifles,Vandal,3,507
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,FedUpGoat16,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,123,8/15/2002,2,5,1,0.4,408,6,10,1,0.6,1175,Sidearms,Sheriff,2,436
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,FedUpGoat16,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,123,8/15/2002,2,5,1,0.4,408,6,10,1,0.6,1175,Assault Rifles,Phantom,1,282
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,FedUpGoat16,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,123,8/15/2002,2,5,1,0.4,408,6,10,1,0.6,1175,Sidearms,Ghost,1,106
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,FedUpGoat16,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,123,8/15/2002,2,5,1,0.4,408,6,10,1,0.6,1175,SMGs,Spectre,1,0
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,CxSnowman,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sova_thumb.png,106,7/12/2004,0,5,1,0,189,7,7,3,1,1281,Heavy Weapons,Ares,4,749
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,CxSnowman,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sova_thumb.png,106,7/12/2004,0,5,1,0,189,7,7,3,1,1281,Assault Rifles,Vandal,2,432
Win,Ascent,"10/05/20, 1:32 PM",33m 34s,CxSnowman,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sova_thumb.png,106,7/12/2004,0,5,1,0,189,7,7,3,1,1281,SMGs,Stinger,1,145
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,Apoppy140,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,259,18 / 13 / 3,11,10,1,1.1,2644,8,3,2,2.7,1096,Heavy Weapons,Ares,8,1520
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,Apoppy140,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,259,18 / 13 / 3,11,10,1,1.1,2644,8,3,2,2.7,1096,Assault Rifles,Vandal,3,485
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,Apoppy140,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,259,18 / 13 / 3,11,10,1,1.1,2644,8,3,2,2.7,1096,Sidearms,Classic,3,378
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,Apoppy140,https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png,259,18 / 13 / 3,11,10,1,1.1,2644,8,3,2,2.7,1096,Assault Rifles,Phantom,2,311
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,xAngieex,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sage_thumb.png,235,15 / 16 / 4,10,11,3,0.9,1679,5,5,1,1,1040,Heavy Weapons,Ares,10,1582
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,xAngieex,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sage_thumb.png,235,15 / 16 / 4,10,11,3,0.9,1679,5,5,1,1,1040,Assault Rifles,Vandal,4,872
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,xAngieex,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/sage_thumb.png,235,15 / 16 / 4,10,11,3,0.9,1679,5,5,1,1,1040,Sidearms,Frenzy,1,130
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,TaFfy,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,189,10/18/2006,4,12,3,0.3,1219,6,6,3,1,1150,SMGs,Spectre,8,1365
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,TaFfy,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png,189,10/18/2006,4,12,3,0.3,1219,6,6,3,1,1150,Sidearms,Frenzy,2,244
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,H3LL0xKiTTY,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png,159,10/16/2002,7,11,1,0.6,1510,3,5,1,0.6,730,Assault Rifles,Phantom,6,1090
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,H3LL0xKiTTY,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png,159,10/16/2002,7,11,1,0.6,1510,3,5,1,0.6,730,SMGs,Spectre,2,356
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,H3LL0xKiTTY,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png,159,10/16/2002,7,11,1,0.6,1510,3,5,1,0.6,730,Sidearms,Ghost,1,240
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,H3LL0xKiTTY,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png,159,10/16/2002,7,11,1,0.6,1510,3,5,1,0.6,730,Sidearms,Classic,1,100
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,JakillynMeSmalls,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,139,6/16/2006,4,11,4,0.4,1141,2,5,2,0.4,811,Assault Rifles,Phantom,2,347
Loss,Ascent,"10/05/20, 1:32 PM",33m 34s,JakillynMeSmalls,https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png,139,6/16/2006,4,11,4,0.4,1141,2,5,2,0.4,811,Assault Rifles,Bulldog,2,325
